review_item_id,account_id,account_name,field,main_value,profile_value,review_rule,recommended_action,suggested_decision,human_decision,human_note,allowed_decisions,writeback_status
m36r_acc_botanee_account_canonical_name,acc_botanee,云南贝泰妮生物科技集团股份有限公司,account_canonical_name,云南贝泰妮生物科技集团股份有限公司,贝泰妮集团股份有限公司,公司主体名称差异。默认主表为 source of truth，但需人工确认是否为简称、曾用名或误配。,confirm_main_canonical_name_then_sync_profile_or_record_alias,record_alias_only,,,sync_main_to_profile | keep_profile | merge_values | record_alias_only | hold_pending_more_evidence,not_executed
m36r_acc_botanee_信息扎实度,acc_botanee,云南贝泰妮生物科技集团股份有限公司,信息扎实度,中高,中,质量等级差异。不得自动覆盖，应确认新旧证据口径和最近写回来源。,likely_sync_main_to_profile_after_human_confirm,sync_main_to_profile,,,sync_main_to_profile | keep_profile | merge_values | record_alias_only | hold_pending_more_evidence,not_executed
m36r_acc_botanee_admission_reason_summary,acc_botanee,云南贝泰妮生物科技集团股份有限公司,admission_reason_summary,美妆个护和品牌消费品属性成立，可作为高 SKU 品牌消费品次级样本。,美妆个护品牌属性强，适合作为高 SKU 品牌消费品高优先级候选。,入池理由差异。主表通常更新，但需要确认是否丢失档案中的有效判断。,review_main_more_specific_then_sync_if_accepted,sync_main_to_profile,,,sync_main_to_profile | keep_profile | merge_values | record_alias_only | hold_pending_more_evidence,not_executed
m36r_acc_botanee_公司产品与服务概述,acc_botanee,云南贝泰妮生物科技集团股份有限公司,公司产品与服务概述,品牌消费品经营，SKU较多，渠道与供应链协同复杂。,美妆个护。,产品服务描述差异。需要确认主表是否更具体、档案是否保留补充细节。,review_main_more_specific_then_sync_if_accepted,sync_main_to_profile,,,sync_main_to_profile | keep_profile | merge_values | record_alias_only | hold_pending_more_evidence,not_executed
m36r_acc_botanee_商业模式概述,acc_botanee,云南贝泰妮生物科技集团股份有限公司,商业模式概述,品牌消费品全渠道经营，依赖商品、供应链和渠道协同。,以品牌消费品为主，具备较强经营协同复杂度。,商业模式描述差异。需要确认是否存在画像或经营模式口径变化。,review_main_more_specific_then_sync_if_accepted,sync_main_to_profile,,,sync_main_to_profile | keep_profile | merge_values | record_alias_only | hold_pending_more_evidence,not_executed
m36r_acc_dsbj_account_canonical_name,acc_dsbj,苏州东山精密制造股份有限公司,account_canonical_name,苏州东山精密制造股份有限公司,东山精密制造股份有限公司,公司主体名称差异。默认主表为 source of truth，但需人工确认是否为简称、曾用名或误配。,confirm_main_canonical_name_then_sync_profile_or_record_alias,record_alias_only,,,sync_main_to_profile | keep_profile | merge_values | record_alias_only | hold_pending_more_evidence,not_executed
m36r_acc_dsbj_信息扎实度,acc_dsbj,苏州东山精密制造股份有限公司,信息扎实度,高,中,质量等级差异。不得自动覆盖，应确认新旧证据口径和最近写回来源。,manual_compare_before_sync,hold_pending_more_evidence,,,sync_main_to_profile | keep_profile | merge_values | record_alias_only | hold_pending_more_evidence,not_executed
m36r_acc_dsbj_admission_reason_summary,acc_dsbj,苏州东山精密制造股份有限公司,admission_reason_summary,多基地制造与全球客户协同明确，可作为多工厂制造补充标尺。,精密制造与多基地协同属性强，适合作为多工厂制造高优先级候选。,入池理由差异。主表通常更新，但需要确认是否丢失档案中的有效判断。,manual_compare_before_sync,hold_pending_more_evidence,,,sync_main_to_profile | keep_profile | merge_values | record_alias_only | hold_pending_more_evidence,not_executed
m36r_acc_dsbj_公司产品与服务概述,acc_dsbj,苏州东山精密制造股份有限公司,公司产品与服务概述,多工厂、多事业部的集团型制造业务。,精密制造。,产品服务描述差异。需要确认主表是否更具体、档案是否保留补充细节。,review_main_more_specific_then_sync_if_accepted,sync_main_to_profile,,,sync_main_to_profile | keep_profile | merge_values | record_alias_only | hold_pending_more_evidence,not_executed
m36r_acc_dsbj_商业模式概述,acc_dsbj,苏州东山精密制造股份有限公司,商业模式概述,集团型制造，依赖多基地协同和总部经营管理。,以多工厂制造为主，具备较强经营协同复杂度。,商业模式描述差异。需要确认是否存在画像或经营模式口径变化。,manual_compare_before_sync,hold_pending_more_evidence,,,sync_main_to_profile | keep_profile | merge_values | record_alias_only | hold_pending_more_evidence,not_executed
m36r_acc_neway_admission_reason_summary,acc_neway,纽威阀门股份有限公司,admission_reason_summary,阀门与工业装备零部件制造属性明确。,技术型制造属性明确，符合装备 / 工业制造画像。,入池理由差异。主表通常更新，但需要确认是否丢失档案中的有效判断。,manual_compare_before_sync,hold_pending_more_evidence,,,sync_main_to_profile | keep_profile | merge_values | record_alias_only | hold_pending_more_evidence,not_executed
m36r_acc_qianweiyangchu_admission_reason_summary,acc_qianweiyangchu,郑州千味央厨食品股份有限公司,admission_reason_summary,预制食品与餐饮供应双属性并存，商品与供应链画像成立。,餐饮供应链与食品品牌双属性并存，适合商品与供应链协同画像，符合高 SKU 品牌消费品相邻画像。,入池理由差异。主表通常更新，但需要确认是否丢失档案中的有效判断。,manual_compare_before_sync,hold_pending_more_evidence,,,sync_main_to_profile | keep_profile | merge_values | record_alias_only | hold_pending_more_evidence,not_executed
m36r_acc_topstar_admission_reason_summary,acc_topstar,广东拓斯达科技股份有限公司,admission_reason_summary,拓斯达科技股份有限公司具备制造组织、产品交付和经营协同特征，可用于验证 `mfg_multi_factory_group` 下的研产销协同和多基地/项目经营复杂度。,自动化装备与复杂经营协同方向成立，适合作为技术型制造画像候选。,入池理由差异。主表通常更新，但需要确认是否丢失档案中的有效判断。,review_main_more_specific_then_sync_if_accepted,sync_main_to_profile,,,sync_main_to_profile | keep_profile | merge_values | record_alias_only | hold_pending_more_evidence,not_executed
m36r_acc_topstar_公司产品与服务概述,acc_topstar,广东拓斯达科技股份有限公司,公司产品与服务概述,拓斯达围绕工业机器人、注塑机辅机、数控机床和自动化应用系统开展研发、制造与销售。,工业机器人、自动化设备与智能制造解决方案。,产品服务描述差异。需要确认主表是否更具体、档案是否保留补充细节。,review_main_more_specific_then_sync_if_accepted,sync_main_to_profile,,,sync_main_to_profile | keep_profile | merge_values | record_alias_only | hold_pending_more_evidence,not_executed
